track_id,track_name,track_artist,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6Nq5N6GC5Ik5mteYWlpgKp,SHADOW CITY,Akira Terao,r&b,0.381,0.617,8,-12.336,0,0.0307,0.366,0.845,0.283,0.582,86.457
5FAK7GY5W3PUBPLkJ6R2wq,Rewind,Louis Futon,edm,0.693,0.664,7,-5.352,1,0.0793,0.206,0.0,0.124,0.542,96.13
2eIRE17ugmqHEjDbXWCalr,Beautiful Mind,Cormega,rap,0.785,0.626,5,-5.505,1,0.33,0.073,0.0,0.0806,0.695,88.013
3ei99dge15PXGB99SCSA4y,I Will,Alison Krauss,r&b,0.554,0.22,1,-13.842,1,0.0285,0.891,0.00723,0.1,0.582,109.548
6lDMHbUSuk5RhtmBSJuKZ4,Promise Me,Ballin Entertainment,latin,0.709,0.575,6,-12.834,1,0.122,0.00496,6.61e-06,0.127,0.608,128.99
1aV0ZqbXNmODdF2MqLD8Av,Pa Los Files,"Osmani Garcia ""La Voz""",latin,0.733,0.714,1,-10.638,1,0.219,0.127,0.0,0.0899,0.844,164.011
4gaz3uvhKgO078XcdzyPsl,Money To Blow - Street Version,Birdman,rap,0.708,0.578,6,-8.686,1,0.0631,0.0095,0.0,0.353,0.696,133.03
4e6YIJBmRfCEdzPyhG0RiH,Payaso de rodeo,Caballo Dorado,latin,0.683,0.838,2,-9.433,1,0.0358,0.0355,0.00157,0.0627,0.874,115.879
5qL0q7I7Cx4PmzjsErLTT2,Temple,SwuM,rap,0.645,0.739,5,-6.707,0,0.0429,0.836,0.925,0.384,0.127,87.976
437h9GRi70A1BzMzh4cyra,From Finner,Of Monsters and Men,pop,0.375,0.657,8,-6.661,0,0.0251,0.0161,0.00115,0.13,0.182,96.041
2gM3JL6l1INKPh0vf0c8I7,If You Want Me to Stay,Eric Benét,r&b,0.876,0.476,8,-6.489,1,0.0506,0.485,1.14e-06,0.0519,0.582,97.528
4RnXwGmNg54Luun5PWcnzR,Mala Conducta,Alexis y Fido,latin,0.711,0.841,6,-4.775,0,0.0917,0.231,9.85e-05,0.191,0.964,176.027
2MZxGY9My3WGVZNfOcXptn,Get Wild,Lost My Name,pop,0.693,0.734,5,-6.9,0,0.0565,0.00219,1.29e-05,0.163,0.828,131.967
6ZnVDTG0j7uod6iEwf5nF8,Until the End (feat. Joe Gil),Dirty South,edm,0.575,0.847,11,-4.687,0,0.0298,0.0138,0.00904,0.201,0.641,129.004
1OFKUn2VLafrHj7ybnap0Q,Only Wanna Be with You,Hootie & The Blowfish,rock,0.49,0.873,6,-5.861,1,0.0355,0.107,5.19e-06,0.118,0.513,103.272
2b7FqlHc3JrzlYtGEkzq22,Juicy - 2007 Remaster,The Notorious B.I.G.,rap,0.873,0.816,9,-4.645,1,0.256,0.483,0.0,0.146,0.79,96.067
7pv8xZYGo3FAZFd2R4OP0F,Gunnin' for You,Nick Nolan,rap,0.15,0.7,7,-5.113,1,0.0359,0.0212,0.483,0.104,0.341,66.76
7uLfw6yj5AbSaQTDwUVzzI,Oblivion,Zayde Wølf,rock,0.253,0.49,0,-8.187,0,0.0373,0.0169,0.0337,0.111,0.0549,72.955
7jZHUhAmW5oq1cq6s8IxmK,Sun Models (feat. Madelyn Grant),ODESZA,pop,0.683,0.481,8,-9.174,0,0.075,0.191,0.736,0.0907,0.47,120.001
45ZGEdLxCZvdMX9jWlsAAx,I Don't Belong In This Club,Why Don't We,pop,0.797,0.543,11,-5.744,1,0.0439,0.0202,0.0,0.0726,0.164,115.036
5nKI7U4XDUEQBX4vxUnGWh,Heartbreak,Blasterjaxx,edm,0.605,0.867,2,-4.993,1,0.0447,0.0102,4.99e-05,0.861,0.296,128.024
4Pzzu5xpOc3e41d2M4MWxi,Celebrate Tonight,Allen Stone,r&b,0.596,0.476,2,-9.34,1,0.0457,0.102,0.0,0.136,0.361,181.817
6mht0HfWSayOESGoaXEShd,I'm Walking on Sunshine,Carl Wave,pop,0.552,0.953,10,-1.336,1,0.0497,0.0623,0.0,0.0158,0.805,108.968
47TqCCnEliDp8NRDyIQoQq,You Make Me Wanna...,Usher,r&b,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088
6ySAkz3R1jotVu3sVWL9gy,In Hypnose,Deborah de Luca,edm,0.805,0.916,6,-6.279,1,0.0531,0.00125,0.948,0.113,0.222,124.992
7q80FRFj4EZITbHS51m1OG,Daylight,Yves V,edm,0.623,0.838,1,-5.177,0,0.0445,0.0543,0.0103,0.679,0.11,127.984
04pcMIy3xrbNpecnb0Ii8q,What's Love Got to Do with It,XY&O,pop,0.677,0.497,7,-6.329,1,0.0395,0.0777,0.0,0.104,0.24,102.001
1JkZg3eMQTmTn93E8Yd3UL,I Want You to Want Me,Cheap Trick,rock,0.806,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726
2mb1XdzL8GCVJhiz6JxVtw,Juice,London Jae,r&b,0.905,0.346,9,-11.649,0,0.407,0.0111,0.0,0.506,0.43,86.99
4ioAA5k5UMFnRaFmk7T7Jw,"Like Father, Like Son",Struggle Jennings,rap,0.608,0.665,2,-7.521,0,0.0353,0.0511,0.0,0.2,0.206,89.953
58ubvrlEOugu8SunT0qZIv,American Capitalist,Five Finger Death Punch,rock,0.484,0.995,1,-3.892,0,0.238,7.27e-06,0.00198,0.208,0.0436,150.04
0trjvNuATk3tEwIpXRr16m,"Broken Homes (feat. Nafe Smallz, M Huncho & Gunna)",The Plug,r&b,0.856,0.621,6,-8.71,1,0.0499,0.162,0.0,0.116,0.635,126.983
1PI87c2lTmkjNUG6EHzvgc,Hype,Kid 'N Play,rap,0.902,0.352,9,-15.897,0,0.0912,0.00185,0.0,0.0867,0.695,134.417
28r8mD037GEBPG5a65YdDQ,Keep It 100,Grandtheft,rap,0.623,0.947,1,-3.347,1,0.25,0.00598,0.788,0.279,0.457,164.029
7wPRHlzWJR9xxbDBXAHNBL,Feeling,Lucas Estrada,latin,0.707,0.643,10,-10.614,0,0.0485,0.304,0.668,0.157,0.468,99.974
6I8gVxB8KT0XyYKnVyarys,Being Alive,Hardwell,edm,0.589,0.751,6,-5.124,0,0.0975,0.014,3.09e-06,0.549,0.178,128.269
14no1rD0brutYOOJq8h0fe,Lifelong Dayshift,Middle Class Rut,rock,0.424,0.979,11,-2.843,1,0.0805,0.00158,7.45e-06,0.281,0.28,165.921
6JqpFboOH2bq9pzaYbkKBn,R.I.P. (feat. Rita Ora & Anitta),Sofia Reyes,latin,0.764,0.752,8,-3.713,0,0.0711,0.18,0.0,0.0701,0.698,100.066
4nR2XMmaptPEEwCP8msaJC,On Bended Knee,Boyz II Men,r&b,0.636,0.459,8,-10.313,1,0.0366,0.392,0.0,0.113,0.183,116.628
1AtJv3Zzf4DA9UfX822V6D,Baby 8,YBN Nahmir,rap,0.656,0.675,1,-9.476,1,0.44,0.0303,0.0,0.344,0.475,162.839
6FeGkJquvWWoAOa3rMM6EB,Riptide - FlicFlac Edit,Vance Joy,latin,0.708,0.667,8,-7.934,1,0.0418,0.253,0.000692,0.0878,0.634,115.987
74iQ3gahRTOGc19bYadBE3,Thank You (Falettinme Be Mice Elf Agin) - single master,Sly & The Family Stone,r&b,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,105.822
79zshLLUoqncCBkd9YfVUE,Light,Jerome,edm,0.36,0.89,8,-5.645,1,0.0383,0.0171,0.252,0.146,0.0897,106.554
4JfmN8cwHrE4sxXrAPPPNV,La vida loca,White 2115,rap,0.665,0.614,0,-8.837,1,0.0381,0.1,0.0,0.12,0.422,150.082
217bRMES4HVbPdUe8l8ECN,El Malo,Aventura,latin,0.812,0.506,1,-10.729,1,0.0533,0.143,0.0,0.132,0.701,125.941
3FX1ELIrd9B6YsmJX2Qwao,Volaré - Artury Pepper Remix,T-Bone,latin,0.552,0.926,10,-5.967,1,0.0335,0.000227,0.069,0.144,0.16,127.978
6IwKcFdiRQZOWeYNhUiWIv,No One,Alicia Keys,edm,0.644,0.548,1,-5.416,0,0.0286,0.0209,8.68e-06,0.134,0.166,90.042
57ysLbmFhxX9WL9e5QTAmz,The Way That You Love Me,Paula Abdul,r&b,0.766,0.852,1,-8.297,1,0.0729,0.0932,0.00343,0.0825,0.886,119.969
7EzQpS56OD25OuAU0HMivB,Baila Mi Corazón,Belanova,pop,0.624,0.729,5,-4.665,1,0.0269,0.0153,0.0676,0.259,0.33,132.053
2sXnHk6Bvw3RByVMpbcc5A,This Ain't the Way,Jeremy Passion,r&b,0.534,0.311,8,-9.141,1,0.0511,0.54,0.0,0.104,0.0853,115.219
2Yv2mHzr5AQavVdwQjEokV,Hand Me Downs,Mac Miller,rap,0.677,0.33,2,-11.198,1,0.149,0.474,0.000871,0.064,0.336,68.985
4Qh2aIeltkTKXD73wg8aGe,Chichi,Periko & Jessi Leon,latin,0.892,0.796,1,-3.79,0,0.109,0.109,0.0,0.0927,0.688,110.008
2dtRDOAIVi1RhZ1LZpiXn0,Koi,Night Tempo,r&b,0.702,0.908,5,-5.518,0,0.335,0.0276,0.00387,0.222,0.645,122.037
4qO03RMQm88DdpTJcxlglY,Call Me,Blondie,rock,0.56,0.825,2,-6.711,0,0.0347,0.000785,0.00246,0.0892,0.74,142.669
1cg5GVCTWza8bQnxM2FHia,Azumba,Gregor Salto,latin,0.806,0.993,3,-5.737,0,0.054,0.00668,0.77,0.0877,0.608,128.036
2kJqNHHGOzLNahukdvlDWN,Drive,Oh Wonder,pop,0.657,0.456,9,-8.351,1,0.0961,0.705,8.84e-06,0.084,0.381,141.735
3XWVTJyqhr9R8mblP0a1an,Tempo,Thyse,edm,0.614,0.928,8,-4.379,1,0.0478,8.53e-05,0.17,0.379,0.0643,129.995
6B6MWIzXwsTWQpqYzw9bBI,Mo Reala,Zaytoven,rap,0.878,0.52,9,-7.58,1,0.131,0.218,0.0,0.119,0.337,110.996
5I9cUsP08mVoll09AgkenG,Coastal Walks,.Sinh,rap,0.579,0.13,11,-16.266,0,0.0973,0.447,0.928,0.09,0.59,76.006
71uQWxtXZDImodR71xdaWN,A Life Within a Day,Squackett,rock,0.398,0.722,9,-7.767,0,0.0445,0.0177,0.0174,0.227,0.403,77.497
6U20jK4eAcXGUuodqMugY6,Elis,Sofía Campos,latin,0.747,0.556,0,-9.219,1,0.0706,0.231,1.56e-06,0.0942,0.829,158.157
7lRp0mTu0oAaN3avFuouoQ,X - Spanglish Version,Nicky Jam,latin,0.658,0.721,9,-3.803,0,0.0699,0.00217,0.000396,0.341,0.677,180.033
31F0KxmTD4rz3o0tJht5RL,Ordinary Pleasure,Toro y Moi,r&b,0.878,0.779,7,-7.283,1,0.135,0.118,0.0192,0.104,0.778,115.009
0lOe1dR2TNkJMCjIcRuw6T,Westside Story,The Game,rap,0.876,0.647,11,-3.917,1,0.28,0.16,0.0,0.238,0.961,86.993
6ydCAmvfPBYxCnqdDZAZ6d,Back In The City,Alejandro Sanz,latin,0.753,0.754,10,-6.285,0,0.0385,0.443,0.0,0.112,0.853,127.992
2DFi8rwHcVkTTgu7PULhtI,My Type,Saint Motel,pop,0.596,0.897,10,-2.94,1,0.0462,0.0641,5.24e-05,0.0628,0.578,118.0
6xGAe69Vn07PnQQPQI083T,A Song For Mama,Boyz II Men,r&b,0.571,0.434,7,-8.852,1,0.0364,0.452,0.0,0.118,0.15,75.016
3x8N0uirzvvWp3Fjhz7p3o,Idlip,Imago,rock,0.467,0.458,7,-6.274,1,0.0263,0.305,0.0,0.155,0.288,52.017
5aC5KtkmNBfX1iFX4EVfCO,Decatur Psalm,OutKast,rap,0.742,0.627,4,-8.921,0,0.326,0.316,0.0,0.168,0.586,81.04
5E8qApJDRE7oKmhZb4rpmz,Only You,J. Lewis,latin,0.767,0.822,5,-8.24,0,0.147,0.207,0.0,0.126,0.71,98.023
1jD3Cb99wZ68V0obSEKFw8,Juicy,The RH Factor,r&b,0.606,0.343,0,-12.022,1,0.0492,0.596,0.524,0.529,0.512,74.637
3dh2LlmeMqKJbzn2WUgt3d,Pride (In The Name Of Love) - Remastered 2009,U2,rock,0.458,0.843,4,-7.201,1,0.0316,0.00135,0.000296,0.778,0.713,105.701
5P1eorfAD2voGnX7ZbuvFz,Can't Stop Your Lovin',Poolside,pop,0.705,0.782,1,-6.284,0,0.0377,0.672,0.00496,0.138,0.963,90.997
3EYTVekyY04eqdoi2iGlgJ,1 Adam 12,Delinquent Habits,latin,0.804,0.702,1,-8.566,1,0.175,0.0176,4.01e-05,0.301,0.727,92.97
1BozLp4I0BcqA5hDAhxV8h,Camarim,Maquiny,rap,0.756,0.71,4,-6.499,0,0.107,0.423,1.16e-05,0.1,0.46,117.064
2S7GH9bhVzZY6ToOc4T7Q8,Blink,Meghan Trainor,r&b,0.545,0.581,7,-6.557,0,0.125,0.0117,2.55e-06,0.0915,0.615,175.664
1sSJ9RmiIozRo4eDcTqVVw,Old English,Ese Lil Joker,latin,0.906,0.44,10,-12.278,0,0.252,0.014,1.33e-05,0.178,0.771,93.663
3A2a0y5rcJWhm1GJq04tuV,Die Echten,Capital Bra,rap,0.626,0.76,9,-4.926,1,0.377,0.0654,9.15e-06,0.0697,0.407,99.092
7bxnKAamR3snQ1VGLuVfC1,City Of Lights - Official Radio Edit,Lush & Simon,edm,0.428,0.922,2,-1.814,1,0.0936,0.0766,0.0,0.0668,0.21,128.17
71X7bPDljJHrmEGYCe7kQ8,The Schuyler Sisters,Renée Elise Goldsberry,pop,0.74,0.727,2,-6.253,1,0.278,0.186,0.0,0.627,0.792,101.408
2c1EGwagV1sT73NimGsqIh,Ain't No Saint,Peg Parnevik,pop,0.55,0.763,4,-3.72,0,0.0363,0.016,0.00013,0.344,0.531,84.637
7C97zVkSR26zYXVEsmZOJh,Keep Us Down,Blackcode,edm,0.476,0.687,2,-3.172,0,0.0653,0.69,0.0,0.315,0.261,127.945
478J9iKJwF4ZGOFYEYz8s9,Rolling Thunder,Yoshi Flower,pop,0.757,0.673,7,-6.733,1,0.185,0.0736,0.0,0.111,0.482,107.178
0rrVn0KMlLHtAklzUrrfoj,Next Song,DaBaby,rap,0.81,0.754,5,-6.138,0,0.302,0.0243,0.0,0.255,0.68,148.091
1i3z3GR1JtLswOSJNO0BQw,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",Bebe Rexha,latin,0.394,0.718,7,-6.336,1,0.0607,0.706,0.0,0.116,0.247,151.912
1hwN2eAwsXgktvw9Qe8TrP,Photograph,Ringo Starr,rock,0.617,0.696,4,-12.739,1,0.0282,0.0155,0.000199,0.108,0.9,111.136
6XSKfR48lYGFOaaBWEMWOb,Spooky (Duke Skellington Remix),Kumiho,edm,0.874,0.72,5,-3.682,0,0.0491,0.0245,0.0187,0.131,0.603,123.997
3u4RKvwDT3CKeYbjxqXEye,Dangerous,Michael Jackson,r&b,0.943,0.708,10,-4.686,1,0.116,0.025,2.33e-05,0.0846,0.581,112.959
3HPLc89ZI535u9AfHjWk0F,Ojitos Cafe,18 Kilates,latin,0.848,0.874,2,-7.179,1,0.0902,0.228,0.0,0.089,0.961,102.001
5UEtsmhfAtUb1KmPGougtO,Recuérdame,Pablo Alborán,latin,0.512,0.455,0,-6.775,0,0.0332,0.0998,0.0,0.151,0.0759,143.149
2MDEiwNwrXkZzx0LRjcF3g,Together - Extended Mix,The Magician,pop,0.776,0.759,10,-5.956,0,0.0458,0.008,0.00234,0.0853,0.52,122.003
1XoPyLfeY1ICagE5j8jOTm,Cyclone,Trove,pop,0.518,0.774,5,-6.973,0,0.158,0.0783,0.0,0.152,0.69,91.982
3O02na9eg60QnVMTvBLml5,Rockin' with the Best,KRU172,rap,0.885,0.787,6,-4.946,1,0.248,0.045,0.0,0.151,0.861,94.996
4k8EevES7UPGwTwPdQyEDB,Crush - Silvio Luz Remix,Andrew Mathers,latin,0.801,0.993,1,-4.23,1,0.0648,0.00331,0.829,0.0338,0.805,128.009
6j3MJ0jtsReAgwRwqsHC7T,Sad,Aivarask,pop,0.818,0.76,11,-7.326,0,0.186,0.197,9.39e-05,0.0749,0.365,125.055
3QCi7tzTX5RhlR9BI3CbMU,Forever on Your Side (feat. Kina Grannis),Imaginary Future,pop,0.699,0.498,9,-7.72,1,0.0359,0.00462,0.00019,0.312,0.359,115.983
0frzpcv2zCUk13mn0X824T,Mall,Gucci Mane,rap,0.749,0.809,11,-7.649,1,0.0504,0.0484,0.0,0.172,0.311,147.992
3j8FPquKEOygdUMLLs1Pxr,Candlelight,Zhavia Ward,r&b,0.511,0.542,2,-7.398,1,0.336,0.387,0.0,0.181,0.439,134.907
2hiB8QxWic092OablwpoVC,Better Days,The Goo Goo Dolls,rock,0.486,0.595,7,-5.009,1,0.0302,0.00212,0.000264,0.0953,0.331,113.276
0dspBfwPVsZJWQF1JxFZz8,Cloudy Day,the.lazyb,rap,0.724,0.529,6,-9.987,0,0.0496,0.151,0.91,0.1,0.895,93.007
7AsgdmESBauahEULwJ3EL9,¿Y Por Que?,Danilo Parra,latin,0.75,0.946,7,-3.602,1,0.172,0.139,0.0,0.0736,0.911,107.054
4XmsMIMjvDIFEjeY3ycMzW,All 4 Love,Color Me Badd,r&b,0.807,0.75,2,-8.29,1,0.0315,0.0347,0.00017,0.149,0.797,106.389
7LnlYD9vq4c9SOrgWOSuDh,Running Blind,Theo Kandel,pop,0.724,0.497,4,-6.397,1,0.104,0.0544,0.0,0.212,0.576,154.859
1F7ZElvJAvWKQ7UaPXg9cF,Barefoot In The Park,James Blake,r&b,0.558,0.632,9,-8.339,0,0.284,0.832,0.105,0.198,0.519,161.764
5YRpDfCCBCNAKDGIlBODbU,La Venganza,J Balvin,latin,0.738,0.865,8,-5.468,0,0.091,0.367,4.91e-06,0.102,0.892,177.944
30MFmjElHOCOhfu6q48Wtv,That Girl,MJG,rap,0.858,0.795,4,-5.814,1,0.0937,0.0175,0.000122,0.0518,0.706,100.008
2Fgo49RzWsVWKcwAksPWq8,Wild Wild Son - Club Mix,Armin van Buuren,edm,0.526,0.867,5,-4.332,0,0.0659,0.00138,0.00064,0.0975,0.12,132.106
1BvJmtaXsqtH438BcDPeBb,Daniel,Elton John,rock,0.688,0.477,0,-11.945,1,0.029,0.38,4.93e-05,0.0864,0.897,132.071
04C8gJkGXkp1A8ZzQiOoBi,Point In Time,Lake People,edm,0.704,0.332,11,-13.385,0,0.0819,0.0131,0.87,0.0909,0.276,120.018
43MWnijE4yC3hZAjoRQ06N,Aunque Es De Noche,ROSALÍA,r&b,0.698,0.29,4,-6.899,0,0.051,0.914,2.04e-05,0.095,0.398,137.936
7kKJfrKXIzwjiMvJr5VpeH,Early Morning,Simple Citizens,r&b,0.772,0.591,6,-8.201,0,0.048,0.115,0.00011,0.94,0.359,98.94
0Vwfd6fxFrL3kCnZSJ9vid,Sloppy Seconds,Watsky,pop,0.74,0.716,6,-5.796,0,0.0609,0.207,3.51e-06,0.0926,0.804,117.977
5MPiqRXQrJnG7h0bZGgcce,Take Over Control,Vinny Vibe,edm,0.711,0.893,6,-2.863,0,0.0354,0.0359,2.79e-05,0.112,0.341,124.034
1ljnwB1bv0sXnUKrmx10Qy,Mirame,Daddy Yankee,latin,0.787,0.813,10,-6.794,0,0.141,0.247,0.0,0.857,0.707,95.996
1BMDaiVYDREQnrQZA7Drpk,"Sweet Child O' Mine - feat. Myles Kennedy and The Conspirators; Live at Spotify, London",Slash,latin,0.566,0.538,6,-5.729,1,0.0346,0.406,0.000497,0.979,0.315,121.154
3rxl0BBJDqP1Y0wgd1m0qO,Only When I Laugh,Troop,r&b,0.625,0.856,1,-9.573,1,0.0458,0.00519,0.00103,0.358,0.845,106.064
43ZeyBuql1TboyWE3ElHXj,In Time,CAZZETTE,pop,0.651,0.711,3,-5.062,0,0.0378,0.111,6.13e-05,0.0488,0.425,125.089
7fXl3E41dDq3dfcC07VOgs,El Final,J Alvarez,rap,0.866,0.719,6,-4.102,0,0.176,0.382,0.0,0.236,0.537,128.037
6Y9JFYyGCcD34RJ7gTMcQM,NIGHT OWL,Psymun,rap,0.402,0.786,3,-4.013,1,0.268,0.543,0.0,0.645,0.862,79.866
7m6W3WDAi4LqqdHCirBhAm,Jeopardized - Original Mix,Sabb,edm,0.804,0.915,6,-8.548,1,0.0422,0.000117,0.916,0.0878,0.362,123.014
7HnkUNPrhRurdGEm9nRYFH,Death & Taxes,Daniel Caesar,r&b,0.448,0.328,7,-11.132,1,0.0351,0.803,9.34e-05,0.347,0.209,113.941
2x6WhnhzmKMbG1oO5fIW5G,Fuego,Ozuna,latin,0.844,0.618,5,-5.133,0,0.0685,0.139,0.000309,0.148,0.604,91.017
3YqoVQblEPKohgRhvjrj3t,Sakura (feat. Punipunidenki & Le Real),Macross 82-99,r&b,0.796,0.765,11,-6.311,0,0.0746,0.00891,0.238,0.0568,0.724,119.025
1VsClV89BOYGlN7RITBHYc,Casablanca,Equalz,latin,0.709,0.658,7,-6.18,0,0.0955,0.0241,0.00155,0.117,0.513,104.813
0FkJJ4aMZjv2e5bA0e92cv,Love's Gonna Get You - Ron Rockwell Remix,Michael Mind,edm,0.707,0.822,7,-7.626,1,0.0656,0.000168,0.107,0.423,0.773,128.0
3Wb82PC0bODgzwqdyD4sLv,Smokeloud,Millennium Jazz Music,rap,0.714,0.314,6,-8.542,1,0.0409,0.181,0.877,0.11,0.571,81.993
6GNIcpcbeWxSH1TJgmGDl7,Tremor (Sensation 2014 Anthem) - Radio Edit,Dimitri Vegas & Like Mike,edm,0.615,0.919,11,-4.999,1,0.0367,0.00201,0.687,0.196,0.225,127.991
5fFEgmLAbNG75zKPn3hXOO,Move Your Body (Future House),Tchami,edm,0.818,0.87,9,-5.162,1,0.0493,0.00424,0.196,0.0429,0.741,123.999
2TE1FOBGJ0h7xxIFUjppmd,Street Struck,Big L,rap,0.773,0.63,9,-8.039,1,0.432,0.142,1.92e-06,0.237,0.677,173.922
75SduxBpIkgLMVSJOEn6yf,Meaning of Life,Disturbed,rock,0.72,0.951,11,-4.78,1,0.0683,0.000648,0.00138,0.0251,0.728,125.929
6OpU3cvY19M2hFxTbLKy5L,Juno,Choker,r&b,0.442,0.267,7,-12.857,1,0.0365,0.921,0.00026,0.148,0.116,120.075
456w57RBY3nDKMs82h0SJC,Blow Job,UCLÃ,rap,0.93,0.638,1,-5.775,1,0.0821,0.0299,0.0,0.0942,0.434,120.055
0lbhKycRyqkOMKZ6thzfU4,Mi Error - Remix,Eladio Carrion,rap,0.663,0.841,7,-3.42,1,0.104,0.0985,0.0,0.45,0.432,174.021
6zft2zhROoyqxbNuG5piOv,Dance?,Night Tempo,r&b,0.763,0.899,0,-5.28,0,0.493,0.05,2.21e-05,0.27,0.703,122.037
6tsVz2hHJD9S8Z1Z3hr1b8,Im Here For a Reason (feat. Kaio Deodato & Sou.Za) - Mack Christopher Remix,Gui Brazil,edm,0.71,0.96,9,-2.041,1,0.0964,0.00573,0.0267,0.11,0.323,128.019
1DvFERTMTHRpLw2hKiqz3h,Let's Get Down,Tony! Toni! Toné!,r&b,0.91,0.661,7,-4.397,1,0.0912,0.0445,0.0,0.237,0.577,103.33
3EPXxR3ImUwfayaurPi3cm,Be Alright,Dean Lewis,r&b,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684
408auwR6AlpKxDyJVpwdyC,Sticky Green,Devin The Dude,rap,0.794,0.695,5,-7.045,0,0.245,0.0182,0.00156,0.0972,0.774,80.999
5cfIibuUGxlrdXcNaWmAnQ,Get Along (feat. Anderson .Paak & Blu),Elements of Music,r&b,0.586,0.724,0,-6.102,1,0.265,0.567,7.98e-06,0.105,0.504,85.08
0AhZNtpPVaC4TApU3H76nL,Him Or Me - Edit Version,Today,r&b,0.817,0.685,1,-9.094,1,0.0705,0.0101,0.000776,0.0598,0.728,105.574
6y3vemZ4p8iZQoZ0VRzdws,Waiting for You,The Aces,pop,0.642,0.453,9,-8.333,1,0.0466,0.329,0.0,0.0721,0.496,82.046
7dFikRPQuLFz4PdCw4ZvCy,Believer,Major Lazer,edm,0.596,0.905,8,-3.456,0,0.0515,0.0743,0.00168,0.128,0.692,144.981
2yn9vJb2G9vv6EGt4fP2QB,Partly Sunny,Joey Pecoraro,latin,0.735,0.411,5,-5.795,0,0.0758,0.32,0.736,0.109,0.611,87.965
1km69Md8EuQMMZ34nWyqlk,La Noche Se Presta,J Bas Y Santy,latin,0.832,0.542,1,-3.725,0,0.0718,0.0733,0.0234,0.123,0.711,100.021
